檢索表,,,,,,,,,,,,,,
類別,編號,項目,位置,,,,,,,,,,,
收音,BT-M-mic-003,夾式麥克風-1,木櫃子右上,,,,,,,,,,,
收音,BT-M-mic-004,夾式麥克風-2,木櫃子右上,,,,,,,,,,,
收音,BT-M-mic-005,夾式麥克風-3,木櫃子右上,,,,,,,,,,,
收音,BT-M-mic-006,夾式麥克風-4,木櫃子右上,,,,,,,,,,,
收音,BT-M-mic-007,SHURE MOTIV MV7 動圈麥克風,木櫃子右上,,,,,,,,,,,
收音,BT-M-mic-008,Rode 指向性麥克風,木櫃子右上,,,,,,,,,,,
收音,BT-M-mic-009,RODE 手持麥轉接套件,木櫃子右上,,,,,,,,,,,
收音,BT-M-mic-010,金頭音源線-1,洞洞板,,,,,,,,,,,
收音,BT-M-mic-011,金頭音源線-2,洞洞板,,,,,,,,,,,
收音,BT-M-mic-012,RODE對接彈簧線,洞洞板,,,,,,,,,,,
收音,BT-M-mic-013,XLR音源線套組(XLR線*2、mic架*2、miniHDMI*1),洞洞板,,,,,,,,,,,
收音,BT-M-other-007,SONY 錄音筆,木櫃子右上,,,,,,,,,,,
收音,BT-M-other-008,YAMAHA AG06 音效混音器,洞洞板,,,,,,,,,,,
收音,BT-M-other-011,ZOOM H7 指向型錄音筆,木櫃子右上,,,,,,,,,,,
收音, BT-VA -107,RODE VideoMic Me-L iOS手機專用指向性電容麥克風 Lightning,木櫃子右上,,,,,,,,,,,
配件,BT-M-other-009,紅頭DP線,洞洞板,,,,,,,,,,,
配件,BT-M-other-010,編織HDMI線,洞洞板,,,,,,,,,,,
配件,BT-M-other-005,羅技 R500s 雷射簡報遙控器,木櫃子左上,,,,,,,,,,,
配件,BT-M-other-006,Asing A10 遠距離300米簡報筆,木櫃子左上,,,,,,,,,,,
配件,BT-M-other-013,E-BOOK多功能讀卡機,木櫃子左上,,,,,,,,,,,
配件,BT-M-other-014,綠聯USB簡易讀卡機,木櫃子左上,,,,,,,,,,,
配件,BT-M-sd-001,SONY 64G SDXC記憶卡,木櫃子左上,,,,,,,,,,,
配件,BT-M-sd-002,SanDisk 128G SDXC記憶卡,木櫃子左上,,,,,,,,,,,
配件,BT-M-sd-003,SanDisk 512G SDXC記憶卡,木櫃子左上,,,,,,,,,,,
配件,BT-M-sd-004,SanDisk 256G microSD記憶卡-2,木櫃子左上,,,,,,,,,,,
配件,BT-M-sd-005,Transcend 128G microSD記憶卡-2,木櫃子左上,,,,,,,,,,,
配件,BT-M-sd-006,ADATA 128G microSD記憶卡-2,木櫃子左上,,,,,,,,,,,
配件,BT-M-sd-009,Transcend 128G microSD記憶卡-1,木櫃子左上,,,,,,,,,,,
配件,BT-M-sd-010,SanDisk 256G microSD記憶卡-1,木櫃子左上,,,,,,,,,,,
配件,BT-M-sd-011,ADATA 64G microSD記憶卡-1,木櫃子左上,,,,,,,,,,,
配件, BT-VA -106,SanDisk 1TB microSDXC 190MB/S Extreme 4,木櫃子右中,,,,,,,,,,,
支架,BT-M-cam parts-003,LINO手機通用金屬兔籠（LINO靈朧手機支架）,大推車（下）,,,,,,,,,,,
支架,BT-M-tripod-001,基本款燈架(210cm),大推車（中）,,,,,,,,,,,
支架,BT-M-tripod-002,Raymii桌上型手機支架(70cm),地上,,,,,,,,,,,
支架,BT-M-tripod-003,Cayer卡宴油壓三腳架(200cm),大推車（下）,,,,,,,,,,,
支架,BT-M-tripod-004,JIE yang 捷洋三腳架(170cm),大推車（下）,,,,,,,,,,,
支架,BT-M-tripod-005,活動看板展示架(180cm),地上,,,,,,,,,,,
支架,BT-M-tripod-006,簡易桌上型小三腳架(50cm)（螺絲遺失、缺支架位）,大推車（中）,,,,,,,,,,,
支架,BT-M-tripod-007,DJI手機三軸穩定器（手持雲台）（盒裡）,大推車（中）,,,,,,,,,,,
支架,BT-M-tripod-008,露營燈架(195cm),大推車（中）,,,,,,,,,,,
支架,BT-M-tripod-009,移動式相機三腳架的輪座,大推車（下）,,,,,,,,,,,
支架, BT-VA -110,基本款腳架,大推車（中）,,,,,,,,,,,
支架, BT-VA -111,Raymii Lsa-40-b 手機平板支架,地上,,,,,,,,,,,
,TMX_B-019,APPLE TV,洞洞板,,,,,,,,,,,
,TMX_B-018,APPLE TV,洞洞板,,,,,,,,,,,
